,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.09999847412109
1,0.6602999999999999,0.0638999999999999,0.1289,0.0469999999999999,0.0629,0.0289999999999999,0.0,0.0,0.0,0.0,0.0069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.4000015258789
2,0.747,0.05,0.047,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.69999694824219
3,0.6,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.99999999999999
4,0.7315,0.0,0.1081,0.0,0.0915,0.0407,0.0,0.0,0.0,0.0,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1
5,0.35,0.0,0.0,0.0,0.09,0.17,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,98.0
6,0.8357,0.1138,0.0153,0.0,0.0,0.0,0.0,0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
7,0.7375,0.1208,0.0444,0.0,0.0115,0.0084,0.0,0.0626,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
8,0.0,0.74,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8000030517578
9,0.2693,0.2693,0.0,0.0,0.2177,0.0,0.0,0.2264999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,83.6
10,0.652,0.0,0.06,0.08,0.07,0.0,0.0,0.05,0.065,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,77.0
11,0.4,0.0691,0.1002,0.2385,0.0,0.0,0.1207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376,0.0,0.0,0.0339,0.0,96.0
12,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69999694824219
13,0.6454354564543544,0.0,0.0786921307869212,0.0877912208779121,0.008999100089991,0.0,0.0,0.1497850214978502,0.0,0.0,0.0292970702929706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9000015258789
14,0.5,0.1,0.1,0.1,0.1,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5
15,0.7692769276927693,0.0,0.0,0.0,0.0769076907690769,0.0,0.0,0.1538153815381538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
16,0.5478999999999999,0.2739999999999999,0.0,0.0,0.0,0.0,0.0,0.1780999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5
17,0.64,0.0,0.05,0.0,0.13,0.03,0.02,0.075,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,85.5999984741211
18,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.0,46.4000015258789
